Level,ParentCode,ParentName,AreaCode,AreaName,isSIDS,isLDC,isLLDC,Order,childrenNo
3,CAU_CEN_ASIA,Caucasus and Central Asia,GEO,Georgia,FALSE,FALSE,FALSE,1020403,0
3,CAU_CEN_ASIA,Caucasus and Central Asia,KAZ,Kazakhstan,FALSE,FALSE,TRUE,1020404,0
3,CAU_CEN_ASIA,Caucasus and Central Asia,KGZ,Kyrgyzstan,FALSE,FALSE,TRUE,1020405,0
3,CAU_CEN_ASIA,Caucasus and Central Asia,TJK,Tajikistan,FALSE,FALSE,TRUE,1020406,0
3,CAU_CEN_ASIA,Caucasus and Central Asia,TKM,Turkmenistan,FALSE,FALSE,TRUE,1020407,0
3,CAU_CEN_ASIA,Caucasus and Central Asia,UZB,Uzbekistan,FALSE,FALSE,TRUE,1020408,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_EAS,Eastern Asia,FALSE,FALSE,FALSE,1020500,6
3,MDG_EAS,Eastern Asia,CHN,China,FALSE,FALSE,FALSE,1020501,0
3,MDG_EAS,Eastern Asia,HKG,"China, Hong Kong SAR",FALSE,FALSE,FALSE,1020502,0
3,MDG_EAS,Eastern Asia,MAC,"China, Macao SAR",FALSE,FALSE,FALSE,1020503,0
3,MDG_EAS,Eastern Asia,PRK,Democratic People's Republic of Korea,FALSE,FALSE,FALSE,1020504,0
3,MDG_EAS,Eastern Asia,MNG,Mongolia,FALSE,FALSE,TRUE,1020505,0
3,MDG_EAS,Eastern Asia,KOR,Republic of Korea,FALSE,FALSE,FALSE,1020506,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_SAS,Southern Asia,FALSE,FALSE,FALSE,1020600,9
3,MDG_SAS,Southern Asia,AFG,Afghanistan,FALSE,TRUE,TRUE,1020601,0
3,MDG_SAS,Southern Asia,BGD,Bangladesh,FALSE,TRUE,FALSE,1020602,0
3,MDG_SAS,Southern Asia,BTN,Bhutan,FALSE,FALSE,TRUE,1020603,0
3,MDG_SAS,Southern Asia,IND,India,FALSE,FALSE,FALSE,1020604,0
3,MDG_SAS,Southern Asia,IRN,Iran (Islamic Republic of),FALSE,FALSE,FALSE,1020605,0
3,MDG_SAS,Southern Asia,MDV,Maldives,TRUE,FALSE,FALSE,1020606,0
3,MDG_SAS,Southern Asia,NPL,Nepal,FALSE,TRUE,TRUE,1020607,0
3,MDG_SAS,Southern Asia,PAK,Pakistan,FALSE,FALSE,FALSE,1020607,0
3,MDG_SAS,Southern Asia,LKA,Sri Lanka,FALSE,FALSE,FALSE,1020609,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_SEAS,South-eastern Asia,FALSE,FALSE,FALSE,1020700,11
3,MDG_SEAS,South-eastern Asia,BRN,Brunei Darussalam,FALSE,FALSE,FALSE,1020701,0
3,MDG_SEAS,South-eastern Asia,KHM,Cambodia,FALSE,TRUE,FALSE,1020702,0
3,MDG_SEAS,South-eastern Asia,IDN,Indonesia,FALSE,FALSE,FALSE,1020703,0
3,MDG_SEAS,South-eastern Asia,LAO,Lao People's Democratic Republic,FALSE,TRUE,TRUE,1020704,0
3,MDG_SEAS,South-eastern Asia,MYS,Malaysia,FALSE,FALSE,FALSE,1020705,0
3,MDG_SEAS,South-eastern Asia,MMR,Myanmar,FALSE,TRUE,FALSE,1020706,0
3,MDG_SEAS,South-eastern Asia,PHL,Philippines,FALSE,FALSE,FALSE,1020707,0
3,MDG_SEAS,South-eastern Asia,SGP,Singapore,TRUE,FALSE,FALSE,1020708,0
3,MDG_SEAS,South-eastern Asia,THA,Thailand,FALSE,FALSE,FALSE,1020709,0
3,MDG_SEAS,South-eastern Asia,TLS,Timor-Leste,TRUE,TRUE,FALSE,1020710,0
3,MDG_SEAS,South-eastern Asia,VNM,Viet Nam,FALSE,FALSE,FALSE,1020711,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_WEST_AS,Western Asia,FALSE,FALSE,FALSE,1020800,13
3,MDG_WEST_AS,Western Asia,BHR,Bahrain,FALSE,FALSE,FALSE,1020801,0
3,MDG_WEST_AS,Western Asia,IRQ,Iraq,FALSE,FALSE,FALSE,1020802,0
3,MDG_WEST_AS,Western Asia,JOR,Jordan,FALSE,FALSE,FALSE,1020803,0
3,MDG_WEST_AS,Western Asia,KWT,Kuwait,FALSE,FALSE,FALSE,1020804,0
3,MDG_WEST_AS,Western Asia,LBN,Lebanon,FALSE,FALSE,FALSE,1020805,0
3,MDG_WEST_AS,Western Asia,PSE,State of Palestine,FALSE,FALSE,FALSE,1020806,0
3,MDG_WEST_AS,Western Asia,OMN,Oman,FALSE,FALSE,FALSE,1020807,0
3,MDG_WEST_AS,Western Asia,QAT,Qatar,FALSE,FALSE,FALSE,1020808,0
3,MDG_WEST_AS,Western Asia,SAU,Saudi Arabia,FALSE,FALSE,FALSE,1020809,0
3,MDG_WEST_AS,Western Asia,SYR,Syrian Arab Republic,FALSE,FALSE,FALSE,1020810,0
3,MDG_WEST_AS,Western Asia,TUR,Turkey,FALSE,FALSE,FALSE,1020811,0
3,MDG_WEST_AS,Western Asia,ARE,United Arab Emirates,FALSE,FALSE,FALSE,1020812,0
3,MDG_WEST_AS,Western Asia,YEM,Yemen,FALSE,TRUE,FALSE,1020813,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_OCE,Oceania,FALSE,FALSE,FALSE,1020900,20
3,MDG_OCE,Oceania,ASM,American Samoa,TRUE,FALSE,FALSE,1020901,0
3,MDG_OCE,Oceania,COK,Cook Islands,TRUE,FALSE,FALSE,1020902,0
3,MDG_OCE,Oceania,FJI,Fiji,TRUE,FALSE,FALSE,1020903,0
3,MDG_OCE,Oceania,PYF,French Polynesia,TRUE,FALSE,FALSE,1020904,0
3,MDG_OCE,Oceania,GUM,Guam,TRUE,FALSE,FALSE,1020905,0
3,MDG_OCE,Oceania,KIR,Kiribati,TRUE,TRUE,FALSE,1020906,0
3,MDG_OCE,Oceania,MHL,Marshall Islands,TRUE,FALSE,FALSE,1020907,0
3,MDG_OCE,Oceania,FSM,Micronesia (Federated States of),TRUE,FALSE,FALSE,1020908,0
3,MDG_OCE,Oceania,NRU,Nauru,TRUE,FALSE,FALSE,1020909,0
3,MDG_OCE,Oceania,NCL,New Caledonia,TRUE,FALSE,FALSE,1020910,0
3,MDG_OCE,Oceania,NIU,Niue,TRUE,FALSE,FALSE,1020911,0
3,MDG_OCE,Oceania,MNP,Northern Mariana Islands,TRUE,FALSE,FALSE,1020912,0
3,MDG_OCE,Oceania,PLW,Palau,TRUE,FALSE,FALSE,1020913,0
